Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);641;UNIVERSIDADE LA SALLE;UNILASALLE;Universidade;Privada sem fins lucrativos;53469;Educação Presencial;4304606;Canoas;RS;9;9;4;0,4444;2,3802;3,2468;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);657;FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA;FAFOPST;Faculdade;Especial;112927;Educação Presencial;2613909;Serra Talhada;PE;15;15;13;0,8667;0,3313;2,6015;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);663;UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Universidade;Privada sem fins lucrativos;65899;Educação Presencial;3304904;São Gonçalo;RJ;41;40;18;0,4500;0,4448;2,6373;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);663;UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Universidade;Privada sem fins lucrativos;65903;Educação Presencial;3303302;Niterói;RJ;6;6;3;0,5000;-9,9982;0,0000;1;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);663;UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Universidade;Privada sem fins lucrativos;67708;Educação Presencial;3301009;Campos dos Goytacazes;RJ;9;9;3;0,3333;0,4898;2,6514;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);663;UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Universidade;Privada sem fins lucrativos;1204444;Educação a Distância;3304904;São Gonçalo;RJ;32;30;4;0,1333;;;SC;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);665;UNIVERSIDADE DE TAUBATÉ;UNITAU;Universidade;Pública Municipal;21450;Educação Presencial;3554102;Taubaté;SP;28;28;13;0,4643;0,5379;2,6666;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);665;UNIVERSIDADE DE TAUBATÉ;UNITAU;Universidade;Pública Municipal;1152580;Educação a Distância;3554102;Taubaté;SP;21;18;4;0,2222;-5,2429;0,8461;1;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);666;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;UEFS;Universidade;Pública Estadual;15410;Educação Presencial;2910800;Feira de Santana;BA;34;31;29;0,9355;-0,2601;2,4153;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);669;UNIVERSIDADE NILTON LINS;UNINILTONLINS;Universidade;Privada sem fins lucrativos;60980;Educação Presencial;1302603;Manaus;AM;83;72;53;0,7361;-0,6654;2,2876;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);671;UNIVERSIDADE ANHANGUERA;UNIDERP;Universidade;Privada com fins lucrativos;15544;Educação Presencial;5002704;Campo Grande;MS;2;0;;;;;SC;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);674;CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO;CESVASF;Faculdade;Especial;113393;Educação Presencial;2601607;Belém do São Francisco;PE;41;39;32;0,8205;0,0308;2,5069;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);685;FACULDADE DO BELO JARDIM;FBJ;Faculdade;Especial;15706;Educação Presencial;2601706;Belo Jardim;PE;50;47;41;0,8723;0,0629;2,5170;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);688;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;Universidade;Pública Estadual;20262;Educação Presencial;2933307;Vitória da Conquista;BA;29;27;22;0,8148;1,4952;2,9681;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);688;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;Universidade;Pública Estadual;20270;Educação Presencial;2918001;Jequié;BA;32;31;29;0,9355;-0,2585;2,4158;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);688;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;Universidade;Pública Estadual;94641;Educação Presencial;2916401;Itapetinga;BA;18;18;11;0,6111;-0,9627;2,1940;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);693;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO;Universidade;Pública Federal;100207;Educação Presencial;3304557;Rio de Janeiro;RJ;8;7;5;0,7143;-5,0517;0,9063;1;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);693;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO;Universidade;Pública Federal;1163653;Educação Presencial;3304557;Rio de Janeiro;RJ;7;0;;;;;SC;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Universidade;Pública Federal;15831;Educação Presencial;5002704;Campo Grande;MS;31;28;27;0,9643;0,8512;2,7653;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Universidade;Pública Federal;15863;Educação Presencial;5003207;Corumbá;MS;13;11;11;1,0000;-0,4522;2,3548;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Universidade;Pública Federal;15866;Educação Presencial;5008305;Três Lagoas;MS;24;21;20;0,9524;-1,6710;1,9710;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Universidade;Pública Federal;18381;Educação Presencial;5001102;Aquidauana;MS;27;24;23;0,9583;-0,2322;2,4241;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;Universidade;Pública Federal;1159054;Educação a Distância;5002704;Campo Grande;MS;80;69;26;0,3768;-1,6322;1,9832;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;18363;Educação Presencial;1100205;Porto Velho;RO;3;3;3;1,0000;-3,4604;1,4074;2;
