,Todos os cursos com alunos ativos,,,,,
Campina Grande,CH - CENTRO DE HUMANIDADES,13304200,13451,CIÊNCIAS ECONÔMICAS - N,Noturno,117
Campina Grande,CH - CENTRO DE HUMANIDADES,13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,Integral,51
Campina Grande,CH - CENTRO DE HUMANIDADES,13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,Noturno,97
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,Noturno,86
Campina Grande,CH - CENTRO DE HUMANIDADES,13306100,1149786,COMUNICAÇÃO SOCIAL - D,Integral,97
Campina Grande,CH - CENTRO DE HUMANIDADES,13306200,1149786,COMUNICAÇÃO SOCIAL - N,Noturno,112
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11104120,13447,DESIGN - D,Integral,188
Sousa,CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,31350100,13433,DIREITO - M,Matutino,240
Sousa,CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,31350200,13433,DIREITO - N,Noturno,252
Sousa,CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,31350300,13433,DIREITO - V,Vespertino,219
Campina Grande,CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,12204100,1134328,ENFERMAGEM - D,Integral,205
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21204100,79572,ENFERMAGEM - D,Integral,237
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51204100,107492,ENFERMAGEM - D,Integral,216
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,Integral,39
Campina Grande,CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,15121100,13440,ENGENHARIA AGRÍCOLA - D,Integral,101
Pombal,CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,91130100,112282,ENGENHARIA AMBIENTAL - D,Integral,53
Campina Grande,CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,15122100,13439,ENGENHARIA CIVIL - D,Integral,424
Pombal,CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,91122100,1280408,ENGENHARIA CIVIL - D,Integral,167
Campina Grande,CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,15125100,118550,ENGENHARIA DE ALIMENTOS - D,Integral,70
Pombal,CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,91125100,112294,ENGENHARIA DE ALIMENTOS - D,Integral,57
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,Integral,29
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11126100,13445,ENGENHARIA DE MATERIAIS - D,Integral,86
Campus,Centro,Código,Cód. EMEC,Nome,Turno,Alunos ativos
Campina Grande,CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,15127100,13444,ENGENHARIA DE MINAS - D,Integral,96
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11135100,118562,ENGENHARIA DE PETRÓLEO - D,Integral,64
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11133100,79570,ENGENHARIA DE PRODUÇÃO - D,Integral,104
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,Integral,63
Campina Grande,CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,14123100,13438,ENGENHARIA ELÉTRICA,Integral,689
Patos,CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,41403100,13456,ENGENHARIA FLORESTAL - D,Integral,60
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11124100,13442,ENGENHARIA MECÂNICA - D,Integral,253
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11128100,13441,ENGENHARIA QUÍMICA - D,Integral,129
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11134100,1120733,ESTATÍSTICA - D,Integral,29
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51203100,107495,FARMÁCIA - D,Integral,309
Campina Grande,CH - CENTRO DE HUMANIDADES,13314250,121366,FILOSOFIA (BAC) - N,Noturno,25
Campina Grande,CH - CENTRO DE HUMANIDADES,13314210,121367,FILOSOFIA (LIC) - N,Noturno,55
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11105150,318388,FÍSICA (BAC) - D,Integral,34
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11105110,1204358,FÍSICA (LIC) - D,Integral,38
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51105110,99810,FÍSICA (LIC) - D,Integral,41
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21105210,1152879,FÍSICA (LIC) - N,Noturno,94
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51105210,99810,FÍSICA (LIC) - N,Noturno,65
Campina Grande,CH - CENTRO DE HUMANIDADES,13316110,120777,GEOGRAFIA (LIC) - M,Matutino,108
Campina Grande,CH - CENTRO DE HUMANIDADES,13316210,120777,GEOGRAFIA (LIC) - N,Noturno,108
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21316110,13407,GEOGRAFIA (LICENCIATURA) - M,Matutino,132
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21316210,13407,GEOGRAFIA (LICENCIATURA) - N,Noturno,117
Campina Grande,CH - CENTRO DE HUMANIDADES,13309110,13449,HISTÓRIA (LIC) - D,Integral,99
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21309110,13405,HISTÓRIA (LIC) - M,Matutino,151
Campina Grande,CH - CENTRO DE HUMANIDADES,13309210,13449,HISTÓRIA (LIC) - N,Noturno,116
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21309210,13405,HISTÓRIA (LIC) - N,Noturno,176
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,Integral,66
Campina Grande,CH - CENTRO DE HUMANIDADES,13310214,43962,LETRAS - ESPANHOL (LICENCIATURA) N,Noturno,61
Campina Grande,CH - CENTRO DE HUMANIDADES,13323110,1364560,LETRAS - LIBRAS (LIC) - D,Integral,67
Campina Grande,CH - CENTRO DE HUMANIDADES,13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,Integral,44
Campina Grande,CH - CENTRO DE HUMANIDADES,13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,Integral,66
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,Integral,68
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,Matutino,68
Campina Grande,CH - CENTRO DE HUMANIDADES,13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,Noturno,102
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,Noturno,139
Campina Grande,CH - CENTRO DE HUMANIDADES,13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,Integral,90
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11107150,313448,MATEMÁTICA (BAC) - D,Integral,7
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11107110,13448,MATEMÁTICA (LIC) - D,Integral,51
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21107110,1152880,MATEMÁTICA (LIC) - D,Integral,79
Campus,Centro,Código,Cód. EMEC,Nome,Turno,Alunos ativos
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51107110,99806,MATEMÁTICA (LIC) - D,Integral,51
Campina Grande,CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,11107210,13448,MATEMÁTICA (LIC) - N,Noturno,53
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51107210,99806,MATEMÁTICA (LIC) - N,Noturno,82
Campina Grande,CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,12205100,13453,MEDICINA,Integral,468
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21205100,1101742,MEDICINA,Integral,162
Patos,CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,41410100,13437,MEDICINA VETERINÁRIA - D,Integral,360
Campina Grande,CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,15108100,13435,METEOROLOGIA - D,Integral,20
Campina Grande,CH - CENTRO DE HUMANIDADES,13311150,118632,MÚSICA (BAC) - D,Integral,32
Campina Grande,CH - CENTRO DE HUMANIDADES,13311110,118630,MÚSICA (LIC) - D,Integral,46
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51206100,118910,NUTRIÇÃO - D,Integral,245
Patos,CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,41207100,122676,ODONTOLOGIA - D,Integral,270
Campina Grande,CH - CENTRO DE HUMANIDADES,13312110,13452,PEDAGOGIA (LIC) - M,Matutino,90
Campina Grande,CH - CENTRO DE HUMANIDADES,13312210,13452,PEDAGOGIA (LIC) - N,Noturno,93
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21312110,13410,PEDAGOGIA (LICENCIATURA) - M,Matutino,148
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21312210,13410,PEDAGOGIA (LICENCIATURA) - N,Noturno,180
Campina Grande,CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,12208100,1108087,PSICOLOGIA - D,Integral,339
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51109110,99808,QUÍMICA (LIC) - D,Integral,54
Cajazeiras,CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,21109210,1152881,QUÍMICA (LIC) - N,Noturno,107
Cuité,CES - CENTRO DE EDUCAÇÃO E SAÚDE,51109210,99808,QUÍMICA (LIC) - N,Noturno,69
Sousa,CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,31340100,1117877,SERVIÇO SOCIAL - M,Matutino,100
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71420100,1150096,TECNOLOGIA EM AGROECOLOGIA - D,Integral,21
Sumé,CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA - N,Noturno,61
