Quantidade de alunos matriculados em 2022.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
11105110 - FÍSICA (LIC) - D (Campina Grande),12,22,34
51105110 - FÍSICA (LIC) - D (Cuité),21,40,61
21105210 - FÍSICA (LIC) - N (Cajazeiras),36,49,85
51105210 - FÍSICA (LIC) - N (Cuité),34,60,94
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),35,54,89
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),37,63,100
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),67,61,128
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),64,66,130
13309110 - HISTÓRIA (LIC) - D (Campina Grande),56,55,111
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),75,68,143
13309210 - HISTÓRIA (LIC) - N (Campina Grande),55,61,116
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),101,70,171
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),61,29,90
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),37,17,54
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),43,25,68
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),31,10,41
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),37,26,63
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),38,31,69
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),48,23,71
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),61,24,85
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),103,39,142
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),73,24,97
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),8,11,19
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),21,30,51
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),37,56,93
51107110 - MATEMÁTICA (LIC) - D (Cuité),38,40,78
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),16,32,48
51107210 - MATEMÁTICA (LIC) - N (Cuité),41,44,85
12205100 - MEDICINA (Campina Grande),237,308,545
21205100 - MEDICINA (Cajazeiras),86,91,177
41410100 - MEDICINA VETERINÁRIA - D (Patos),261,155,416
15108100 - METEOROLOGIA - D (Campina Grande),15,17,32
13311150 - MÚSICA (BAC) - D (Campina Grande),5,26,31
13311110 - MÚSICA (LIC) - D (Campina Grande),10,29,39
51206100 - NUTRIÇÃO - D (Cuité),213,57,270
41207100 - ODONTOLOGIA - D (Patos),210,160,370
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),96,3,99
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),81,5,86
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),124,25,149
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),151,33,184
12208100 - PSICOLOGIA - D (Campina Grande),266,96,362
12208200 - PSICOLOGIA - N (Campina Grande),5,4,9
51109110 - QUÍMICA (LIC) - D (Cuité),38,16,54
21109210 - QUÍMICA (LIC) - N (Cajazeiras),60,43,103
51109210 - QUÍMICA (LIC) - N (Cuité),54,29,83
31340100 - SERVIÇO SOCIAL - M (Sousa),94,13,107
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),30,16,46
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),50,25,75
Total,7297,6588,13885
