Quantidade de alunos matriculados em 2024.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),140,516,656
41403100 - ENGENHARIA FLORESTAL - D (Patos),32,29,61
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),44,193,237
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),69,57,126
11134100 - ESTATÍSTICA - D (Campina Grande),10,14,24
51203100 - FARMÁCIA - D (Cuité),226,115,341
13314250 - FILOSOFIA (BAC) - N (Campina Grande),7,16,23
13314210 - FILOSOFIA (LIC) - N (Campina Grande),13,41,54
11105150 - FÍSICA (BAC) - D (Campina Grande),14,25,39
11105110 - FÍSICA (LIC) - D (Campina Grande),14,24,38
51105110 - FÍSICA (LIC) - D (Cuité),14,29,43
21105210 - FÍSICA (LIC) - N (Cajazeiras),40,53,93
51105210 - FÍSICA (LIC) - N (Cuité),22,33,55
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),52,57,109
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),37,64,101
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),73,54,127
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),55,64,119
13309110 - HISTÓRIA (LIC) - D (Campina Grande),58,48,106
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),79,72,151
13309210 - HISTÓRIA (LIC) - N (Campina Grande),60,59,119
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),92,74,166
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),36,29,65
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),40,17,57
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),51,16,67
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),25,14,39
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),34,27,61
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),33,35,68
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),49,23,72
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),66,32,98
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),99,40,139
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),76,19,95
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),4,4,8
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),23,30,53
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),45,48,93
51107110 - MATEMÁTICA (LIC) - D (Cuité),26,34,60
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),25,32,57
51107210 - MATEMÁTICA (LIC) - N (Cuité),36,41,77
12205100 - MEDICINA (Campina Grande),236,315,551
21205100 - MEDICINA (Cajazeiras),88,92,180
41410100 - MEDICINA VETERINÁRIA - D (Patos),237,140,377
15108100 - METEOROLOGIA - D (Campina Grande),9,12,21
13311150 - MÚSICA (BAC) - D (Campina Grande),5,28,33
13311110 - MÚSICA (LIC) - D (Campina Grande),6,43,49
51206100 - NUTRIÇÃO - D (Cuité),203,42,245
41207100 - ODONTOLOGIA - D (Patos),200,120,320
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),97,2,99
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),86,7,93
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),129,19,148
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),161,28,189
12208100 - PSICOLOGIA - D (Campina Grande),273,84,357
51109110 - QUÍMICA (LIC) - D (Cuité),36,19,55
21109210 - QUÍMICA (LIC) - N (Cajazeiras),62,50,112
51109210 - QUÍMICA (LIC) - N (Cuité),47,24,71
31340100 - SERVIÇO SOCIAL - M (Sousa),89,20,109
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),19,5,24
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),48,18,66
Total,7089,6129,13218
