Ano;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Código da Área;Área de Enquadramento;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Concluintes Inscritos;Concluintes Participantes;Concluintes Participantes com nota no Enem;Percentual de Concluintes participantes com nota no Enem;Nota Bruta - IDD;Nota Padronizada - IDD;IDD (Faixa)
2016;1735;CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;FLS;Centro Universitário;Privada com fins lucrativos;90529;23;ENFERMAGEM;Educação Presencial;2307304;JUAZEIRO DO NORTE;CE;90;84;64;0,7619;-0,0930;2,4598;3
2016;163;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Universidade;Privada com fins lucrativos;90537;69;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;3303302;NITERÓI;RJ;6;5;3;0,6000;-1,8062;1,8928;2
2016;1113;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;Centro Universitário;Privada sem fins lucrativos;90571;36;FISIOTERAPIA;Educação Presencial;5300108;BRASÍLIA;DF;30;30;13;0,4333;-0,4848;2,2697;3
2016;163;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Universidade;Privada com fins lucrativos;90582;69;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;3303500;NOVA IGUAÇU;RJ;28;25;11;0,4400;-0,4816;2,2650;3
2016;1317;FACULDADE SUDOESTE PAULISTA;FSP;Faculdade ;Privada com fins lucrativos;90597;38;SERVIÇO SOCIAL;Educação Presencial;3504503;AVARÉ;SP;21;19;14;0,7368;0,6110;2,9292;3
2016;2745;ESCOLA SUPERIOR DA AMAZÔNIA;ESAMAZ;Faculdade ;Privada com fins lucrativos;90615;23;ENFERMAGEM;Educação Presencial;1501402;BELÉM;PA;47;46;28;0,6087;-1,5436;1,7770;2
2016;2135;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ;0;Centro Universitário;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;90681;6;ODONTOLOGIA;Educação Presencial;2311306;QUIXADÁ;CE;95;94;76;0,8085;-0,4822;1,9629;3
2016;2915;FACULDADE CIDADE DE PATOS DE MINAS;FPM;Faculdade ;Privada sem fins lucrativos;90683;6;ODONTOLOGIA;Educação Presencial;3148004;PATOS DE MINAS;MG;83;80;64;0,8000;-1,1194;1,2912;2
2016;1939;INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL;INESUL;Faculdade ;Privada com fins lucrativos;90689;19;FARMÁCIA;Educação Presencial;4113700;LONDRINA;PR;33;30;11;0,3667;-4,9511;0,2611;1
2016;1939;INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL;INESUL;Faculdade ;Privada com fins lucrativos;90691;23;ENFERMAGEM;Educação Presencial;4113700;LONDRINA;PR;14;11;5;0,4545;-1,1501;1,9622;3
2016;1939;INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL;INESUL;Faculdade ;Privada com fins lucrativos;90693;36;FISIOTERAPIA;Educação Presencial;4113700;LONDRINA;PR;26;22;7;0,3182;-2,6688;1,2946;2
2016;3034;FACULDADE DELTA;FACDELTA;Faculdade ;Privada com fins lucrativos;90705;38;SERVIÇO SOCIAL;Educação Presencial;2927408;SALVADOR;BA;100;74;38;0,5135;-0,4019;2,4566;3
2016;3840;CENTRO UNIVERSITÁRIO FACVEST ;FACVEST;Centro Universitário;Privada com fins lucrativos;90726;19;FARMÁCIA;Educação Presencial;4209300;LAGES;SC;16;14;11;0,7857;0,3634;2,5715;3
2016;3840;CENTRO UNIVERSITÁRIO FACVEST ;FACVEST;Centro Universitário;Privada com fins lucrativos;90730;23;ENFERMAGEM;Educação Presencial;4209300;LAGES;SC;10;10;6;0,6000;2,1097;3,4967;4
2016;3840;CENTRO UNIVERSITÁRIO FACVEST ;FACVEST;Centro Universitário;Privada com fins lucrativos;90732;36;FISIOTERAPIA;Educação Presencial;4209300;LAGES;SC;10;10;9;0,9000;-1,1001;1,9949;3
2016;1118;UNIÃO DAS ESCOLAS DO GRUPO FAIMI DE EDUCAÇÃO;FAIMI;Faculdade ;Privada com fins lucrativos;90734;23;ENFERMAGEM;Educação Presencial;3530300;MIRASSOL;SP;44;43;13;0,3023;-2,9574;1,1115;2
2016;3375;INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO;IESM;Faculdade ;Privada com fins lucrativos;90737;51;ZOOTECNIA;Educação Presencial;2112209;TIMON;MA;16;15;11;0,7333;-2,0209;1,9677;3
2016;1115;FACULDADE SANTA TEREZINHA;CEST;Faculdade ;Privada sem fins lucrativos;90754;28;NUTRIÇÃO;Educação Presencial;2111300;SÃO LUÍS;MA;40;37;32;0,8649;-0,1724;2,3662;3
2016;1273;FACULDADE CAMPO LIMPO PAULISTA;FACCAMP;Faculdade ;Privada com fins lucrativos;90756;19;FARMÁCIA;Educação Presencial;3509601;CAMPO LIMPO PAULISTA;SP;26;24;9;0,3750;-0,7487;2,0880;3
2016;4785;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFRO;Instituto Federal de Educação, Ciência e Tecnologia;Pessoa Jurídica de Direito Público - Federal;90763;92;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;1100064;COLORADO DO OESTE;RO;18;11;9;0,8182;1,3989;3,0158;4
2016;1170;FACULDADE METROPOLITANA DE CAMAÇARI;FAMEC;Faculdade ;Privada sem fins lucrativos;90800;36;FISIOTERAPIA;Educação Presencial;2905701;CAMAÇARI;BA;14;13;7;0,5385;-0,0892;2,4463;3
2016;3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;90847;12;MEDICINA;Educação Presencial;4204202;CHAPECÓ;SC;39;38;36;0,9474;-0,6487;2,2185;3
2016;3936;FACULDADE ANHANGUERA DE LIMEIRA;0;Faculdade ;Privada com fins lucrativos;90863;36;FISIOTERAPIA;Educação Presencial;3526902;LIMEIRA;SP;5;4;3;0,7500;0,0664;2,5157;3
2016;3936;FACULDADE ANHANGUERA DE LIMEIRA;0;Faculdade ;Privada com fins lucrativos;90865;23;ENFERMAGEM;Educação Presencial;3526902;LIMEIRA;SP;2;0;0;0,0000;;;SC
2016;4138;FACULDADE ANHANGUERA DE SANTA BÁRBARA;0;Faculdade ;Privada com fins lucrativos;90877;23;ENFERMAGEM;Educação Presencial;3545803;SANTA BÁRBARA D'OESTE;SP;21;18;7;0,3889;-2,8511;1,1616;2
2016;4138;FACULDADE ANHANGUERA DE SANTA BÁRBARA;0;Faculdade ;Privada com fins lucrativos;90879;36;FISIOTERAPIA;Educação Presencial;3545803;SANTA BÁRBARA D'OESTE;SP;16;15;11;0,7333;-0,4837;2,2701;3
2016;4141;FACULDADE ANHANGUERA DE TAUBATÉ;0;Faculdade ;Privada com fins lucrativos;90893;36;FISIOTERAPIA;Educação Presencial;3554102;TAUBATÉ;SP;28;26;19;0,7308;1,1375;2,9939;4
2016;4141;FACULDADE ANHANGUERA DE TAUBATÉ;0;Faculdade ;Privada com fins lucrativos;90901;23;ENFERMAGEM;Educação Presencial;3554102;TAUBATÉ;SP;92;78;41;0,5256;0,7472;2,8553;3
2016;2843;FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA;FCMS/JF;Faculdade ;Privada com fins lucrativos;90939;19;FARMÁCIA;Educação Presencial;3136702;JUIZ DE FORA;MG;17;16;14;0,8750;1,5226;3,0754;4
2016;1170;FACULDADE METROPOLITANA DE CAMAÇARI;FAMEC;Faculdade ;Privada sem fins lucrativos;90947;23;ENFERMAGEM;Educação Presencial;2905701;CAMAÇARI;BA;43;37;14;0,3784;-1,4864;1,8039;2
2016;2437;FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS;PIT TEIXEIRA;Faculdade ;Privada com fins lucrativos;91007;19;FARMÁCIA;Educação Presencial;2931350;TEIXEIRA DE FREITAS;BA;38;37;26;0,7027;-0,7343;2,0943;3
2016;4256;FACULDADES INTEGRADAS PITÁGORAS;FIP-MOC;Faculdade ;Privada com fins lucrativos;91013;19;FARMÁCIA;Educação Presencial;3143302;MONTES CLAROS;MG;13;12;11;0,9167;-2,9661;1,1240;2
2016;3400;FACULDADE DE SAÚDE DE SÃO PAULO;FASSP;Faculdade ;Privada com fins lucrativos;91015;23;ENFERMAGEM;Educação Presencial;3537305;PENÁPOLIS;SP;34;33;8;0,2424;-3,6040;0,8072;1
2016;3099;FACULDADE INTERNACIONAL DA PARAÍBA;FPB;Faculdade ;Privada com fins lucrativos;91025;28;NUTRIÇÃO;Educação Presencial;2507507;JOÃO PESSOA;PB;114;88;63;0,7159;-0,3947;2,2659;3
2016;3099;FACULDADE INTERNACIONAL DA PARAÍBA;FPB;Faculdade ;Privada com fins lucrativos;91027;23;ENFERMAGEM;Educação Presencial;2507507;JOÃO PESSOA;PB;159;139;85;0,6115;-0,4802;2,2775;3
2016;1657;FACULDADE EDUCACIONAL DE DOIS VIZINHOS;FAED;Faculdade ;Privada com fins lucrativos;91029;5;MEDICINA VETERINÁRIA;Educação Presencial;4107207;DOIS VIZINHOS;PR;36;35;32;0,9143;0,6796;3,1083;4
2016;2501;FACULDADE ESTÁCIO DE SÁ DE GOIÁS;FESGO;Faculdade ;Privada com fins lucrativos;91031;23;ENFERMAGEM;Educação Presencial;5208707;GOIÂNIA;GO;102;96;44;0,4583;-1,1601;1,9575;3
2016;1202;FACULDADE SANTA RITA;FASAR;Faculdade ;Privada com fins lucrativos;91045;28;NUTRIÇÃO;Educação Presencial;3118304;CONSELHEIRO LAFAIETE;MG;20;19;12;0,6316;-0,4790;2,2279;3
2016;1202;FACULDADE SANTA RITA;FASAR;Faculdade ;Privada com fins lucrativos;91049;23;ENFERMAGEM;Educação Presencial;3118304;CONSELHEIRO LAFAIETE;MG;17;16;9;0,5625;3,2151;4,0170;5
2016;3641;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS;UNIFEB;Centro Universitário;Privada sem fins lucrativos;91085;51;ZOOTECNIA;Educação Presencial;3505500;BARRETOS;SP;17;10;9;0,9000;-3,1870;1,4843;2
2016;3921;FACULDADE ARNALDO HORÁCIO FERREIRA;FAAHF;Faculdade ;Privada com fins lucrativos;91095;17;AGRONOMIA;Educação Presencial;2919553;LUÍS EDUARDO MAGALHÃES;BA;41;41;29;0,7073;0,5300;3,1764;4
2016;4293;FACULDADE INTEGRAÇÃO TIETE;FIT;Faculdade ;Privada com fins lucrativos;91123;23;ENFERMAGEM;Educação Presencial;3554508;TIETÊ;SP;15;15;7;0,4667;1,9897;3,4402;4
2016;416;FACULDADE DE SÃO PAULO;FASP;Faculdade ;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação;91129;23;ENFERMAGEM;Educação Presencial;3550308;SÃO PAULO;SP;609;520;122;0,2346;-0,4466;2,2934;3
2016;3034;FACULDADE DELTA;FACDELTA;Faculdade ;Privada com fins lucrativos;91161;19;FARMÁCIA;Educação Presencial;2927408;SALVADOR;BA;16;16;12;0,7500;1,5845;3,1023;4
2016;2787;FACULDADES PEQUENO PRÍNCIPE;FPP;Faculdade ;Privada sem fins lucrativos;91175;55;BIOMEDICINA;Educação Presencial;4106902;CURITIBA;PR;37;35;32;0,9143;-0,5508;2,1311;3
2016;1281;FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA;FAIT;Faculdade ;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;91177;17;AGRONOMIA;Educação Presencial;3522406;ITAPEVA;SP;48;46;35;0,7609;-0,6391;2,4702;3
2016;2076;FACULDADE REGIONAL DA BAHIA;FARB;Faculdade ;Privada com fins lucrativos;91183;27;FONOAUDIOLOGIA;Educação Presencial;2927408;SALVADOR;BA;9;9;6;0,6667;2,2183;3,3476;4
2016;2077;FACULDADE ANGLO-AMERICANO;FAA;Faculdade ;Privada com fins lucrativos;91189;19;FARMÁCIA;Educação Presencial;4108304;FOZ DO IGUAÇU;PR;22;21;18;0,8571;-0,6398;2,1353;3
2016;718;UNIVERSIDADE POTIGUAR;UNP;Universidade;Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil;91219;12;MEDICINA;Educação Presencial;2408102;NATAL;RN;139;139;128;0,9209;-0,4458;2,4397;3
2016;355;UNIVERSIDADE TUIUTI DO PARANÁ;UTP;Universidade;Privada com fins lucrativos;91229;95;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;4106902;CURITIBA;PR;99;92;67;0,7283;0,0938;2,5728;3
2016;27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;Universidade;Privada sem fins lucrativos;91271;95;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;3169307;TRÊS CORAÇÕES;MG;15;14;12;0,8571;1,1146;3,1985;4
2016;403;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Universidade;Privada sem fins lucrativos;91295;55;BIOMEDICINA;Educação Presencial;5300108;BRASÍLIA;DF;50;47;33;0,7021;1,1120;2,9613;4
2016;217;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE;UNIFAE;Centro Universitário;Pessoa Jurídica de Direito Público - Municipal;91309;3501;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;3549102;SÃO JOÃO DA BOA VISTA;SP;74;71;39;0,5493;0,2881;2,6014;3
