"Quantidade de alunos ativos em 2019, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
15127100,13444,ENGENHARIA DE MINAS - D,157
11135100,118562,ENGENHARIA DE PETRÓLEO - D,156
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,174
71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,199
14123100,13438,ENGENHARIA ELÉTRICA,1088
41403100,13456,ENGENHARIA FLORESTAL - D,127
11124100,13442,ENGENHARIA MECÂNICA - D,378
11128100,13441,ENGENHARIA QUÍMICA - D,258
11134100,1120733,ESTATÍSTICA - D,65
51203100,107495,FARMÁCIA - D,444
13314250,121366,FILOSOFIA (BAC) - N,60
13314210,121367,FILOSOFIA (LIC) - N,77
11105150,318388,FÍSICA (BAC) - D,42
11105110,1204358,FÍSICA (LIC) - D,58
51105110,99810,FÍSICA (LIC) - D,76
21105210,1152879,FÍSICA (LIC) - N,129
51105210,99810,FÍSICA (LIC) - N,105
13316110,120777,GEOGRAFIA (LIC) - M,137
13316210,120777,GEOGRAFIA (LIC) - N,168
21316110,13407,GEOGRAFIA (LICENCIATURA) - M,159
21316210,13407,GEOGRAFIA (LICENCIATURA) - N,151
13309110,13449,HISTÓRIA (LIC) - D,171
21309110,13405,HISTÓRIA (LIC) - M,190
13309210,13449,HISTÓRIA (LIC) - N,168
21309210,13405,HISTÓRIA (LIC) - N,225
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,127
13310214,43962,LETRAS - ESPANHOL (LICENCIATURA) N,75
13323110,1364560,LETRAS - LIBRAS (LIC) - D,64
13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,55
13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,77
21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,93
21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,83
13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,125
21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,187
13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,118
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA - D,43
11107150,313448,MATEMÁTICA (BAC) - D,26
11107110,13448,MATEMÁTICA (LIC) - D,57
21107110,1152880,MATEMÁTICA (LIC) - D,144
51107110,99806,MATEMÁTICA (LIC) - D,80
19107110,13448,MATEMÁTICA (LIC) - D (PARFOR),17
11107210,13448,MATEMÁTICA (LIC) - N,111
51107210,99806,MATEMÁTICA (LIC) - N,104
12205100,13453,MEDICINA,580
21205100,1101742,MEDICINA,180
41410100,13437,MEDICINA VETERINÁRIA - D,521
15108100,13435,METEOROLOGIA - D,89
13311150,118632,MÚSICA (BAC) - D,40
13311110,118630,MÚSICA (LIC) - D,92
51206100,118910,NUTRIÇÃO - D,384
51206200,118910,NUTRIÇÃO - N,1
41207100,122676,ODONTOLOGIA - D,443
13312110,13452,PEDAGOGIA (LIC) - M,121
13312210,13452,PEDAGOGIA (LIC) - N,123
21312110,13410,PEDAGOGIA (LICENCIATURA) - M,171
21312210,13410,PEDAGOGIA (LICENCIATURA) - N,216
12208100,1108087,PSICOLOGIA - D,261
12208200,1108087,PSICOLOGIA - N,122
51109110,99808,QUÍMICA (LIC) - D,101
21109210,1152881,QUÍMICA (LIC) - N,147
51109210,99808,QUÍMICA (LIC) - N,120
19109210,1152881,QUÍMICA (LIC) - N (PARFOR),1
31340100,1117877,SERVIÇO SOCIAL - M,172
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA - D,113
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA - N,150
