Quantidade de alunos matriculados em 2023.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),49,71,120
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),47,36,83
15122100 - ENGENHARIA CIVIL - D (Campina Grande),173,265,438
91122100 - ENGENHARIA CIVIL - D (Pombal),87,190,277
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),65,39,104
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),64,40,104
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),26,25,51
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),52,85,137
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),49,52,101
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),50,54,104
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),54,80,134
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),48,55,103
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),148,563,711
41403100 - ENGENHARIA FLORESTAL - D (Patos),45,42,87
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),53,205,258
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),97,79,176
11134100 - ESTATÍSTICA - D (Campina Grande),15,25,40
51203100 - FARMÁCIA - D (Cuité),227,111,338
13314250 - FILOSOFIA (BAC) - N (Campina Grande),10,28,38
13314210 - FILOSOFIA (LIC) - N (Campina Grande),15,41,56
11105150 - FÍSICA (BAC) - D (Campina Grande),13,34,47
11105110 - FÍSICA (LIC) - D (Campina Grande),19,27,46
51105110 - FÍSICA (LIC) - D (Cuité),24,40,64
21105210 - FÍSICA (LIC) - N (Cajazeiras),46,59,105
51105210 - FÍSICA (LIC) - N (Cuité),33,59,92
13316110 - GEOGRAFIA (LIC) - M (Campina Grande),49,63,112
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),43,76,119
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),60,47,107
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),73,80,153
13309110 - HISTÓRIA (LIC) - D (Campina Grande),72,61,133
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),90,89,179
13309210 - HISTÓRIA (LIC) - N (Campina Grande),44,52,96
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),97,62,159
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),61,36,97
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),35,11,46
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),50,26,76
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),38,15,53
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),50,33,83
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),44,35,79
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),55,30,85
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),49,23,72
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),80,34,114
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),91,29,120
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),9,9,18
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),25,34,59
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),44,68,112
51107110 - MATEMÁTICA (LIC) - D (Cuité),40,45,85
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),25,42,67
51107210 - MATEMÁTICA (LIC) - N (Cuité),45,60,105
12205100 - MEDICINA (Campina Grande),236,313,549
21205100 - MEDICINA (Cajazeiras),91,94,185
41410100 - MEDICINA VETERINÁRIA - D (Patos),267,157,424
15108100 - METEOROLOGIA - D (Campina Grande),21,21,42
13311150 - MÚSICA (BAC) - D (Campina Grande),5,21,26
13311110 - MÚSICA (LIC) - D (Campina Grande),11,26,37
51206100 - NUTRIÇÃO - D (Cuité),186,58,244
41207100 - ODONTOLOGIA - D (Patos),215,153,368
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),116,3,119
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),71,5,76
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),152,22,174
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),140,29,169
12208100 - PSICOLOGIA - D (Campina Grande),266,93,359
12208200 - PSICOLOGIA - N (Campina Grande),2,4,6
51109110 - QUÍMICA (LIC) - D (Cuité),44,23,67
21109210 - QUÍMICA (LIC) - N (Cajazeiras),63,57,120
51109210 - QUÍMICA (LIC) - N (Cuité),66,28,94
31340100 - SERVIÇO SOCIAL - M (Sousa),114,22,136
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),28,14,42
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),73,35,108
Total,7640,6793,14433
