Quantidade de alunos matriculados em 2021.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),28,55,83
51107110 - MATEMÁTICA (LIC) - D (Cuité),38,30,68
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),20,28,48
51107210 - MATEMÁTICA (LIC) - N (Cuité),32,30,62
12205100 - MEDICINA (Campina Grande),216,269,485
21205100 - MEDICINA (Cajazeiras),82,78,160
41410100 - MEDICINA VETERINÁRIA - D (Patos),253,169,422
15108100 - METEOROLOGIA - D (Campina Grande),23,11,34
13311150 - MÚSICA (BAC) - D (Campina Grande),4,19,23
13311110 - MÚSICA (LIC) - D (Campina Grande),15,32,47
51206100 - NUTRIÇÃO - D (Cuité),247,63,310
41207100 - ODONTOLOGIA - D (Patos),201,156,357
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),91,6,97
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),91,7,98
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),106,25,131
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),141,28,169
12208100 - PSICOLOGIA - D (Campina Grande),247,91,338
12208200 - PSICOLOGIA - N (Campina Grande),7,7,14
51109110 - QUÍMICA (LIC) - D (Cuité),43,19,62
21109210 - QUÍMICA (LIC) - N (Cajazeiras),54,51,105
51109210 - QUÍMICA (LIC) - N (Cuité),48,29,77
31340100 - SERVIÇO SOCIAL - M (Sousa),75,19,94
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),38,21,59
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),53,23,76
Total,7029,6373,13402
