Quantidade de alunos matriculados em 2020.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13309110 - HISTÓRIA (LIC) - D (Campina Grande),50,59,109
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),55,54,109
13309210 - HISTÓRIA (LIC) - N (Campina Grande),44,62,106
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),83,59,142
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),69,30,99
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),22,10,32
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),49,21,70
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),26,9,35
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),31,17,48
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),35,27,62
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),37,27,64
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),50,25,75
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),88,39,127
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),75,16,91
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),6,6,12
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),19,26,45
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),30,60,90
51107110 - MATEMÁTICA (LIC) - D (Cuité),31,27,58
19107110 - MATEMÁTICA (LIC) - D (PARFOR) (Campina Grande),5,7,12
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),18,31,49
51107210 - MATEMÁTICA (LIC) - N (Cuité),25,26,51
12205100 - MEDICINA (Campina Grande),208,276,484
21205100 - MEDICINA (Cajazeiras),71,75,146
41410100 - MEDICINA VETERINÁRIA - D (Patos),249,160,409
15108100 - METEOROLOGIA - D (Campina Grande),21,14,35
13311150 - MÚSICA (BAC) - D (Campina Grande),5,22,27
13311110 - MÚSICA (LIC) - D (Campina Grande),19,53,72
51206100 - NUTRIÇÃO - D (Cuité),245,71,316
,FEMININO,MASCULINO,Total
41207100 - ODONTOLOGIA - D (Patos),207,149,356
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),86,6,92
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),81,7,88
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),109,25,134
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),128,25,153
12208100 - PSICOLOGIA - D (Campina Grande),217,74,291
12208200 - PSICOLOGIA - N (Campina Grande),26,15,41
51109110 - QUÍMICA (LIC) - D (Cuité),41,19,60
21109210 - QUÍMICA (LIC) - N (Cajazeiras),56,50,106
51109210 - QUÍMICA (LIC) - N (Cuité),43,27,70
19109210 - QUÍMICA (LIC) - N (PARFOR) (Cajazeiras),0,1,1
31340100 - SERVIÇO SOCIAL - M (Sousa),86,14,100
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),37,29,66
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),49,28,77
Total,6817,6341,13158
