Cód.,EMEC,Curso,Alunos ativos,Tipo,Turno
13312110,13452,PEDAGOGIA,118,LIC,M
13312210,13452,PEDAGOGIA,112,LIC,N
21312110,13410,PEDAGOGIA,180,LIC,M
21312210,13410,PEDAGOGIA,211,LIC,N
12208100,1108087,PSICOLOGIA,114,BAC,D
12208200,1108087,PSICOLOGIA,235,BAC,N
51109110,99808,QUÍMICA,105,LIC,D
21109210,1152881,QUÍMICA,145,LIC,N
51109210,99808,QUÍMICA,102,LIC,N
19109210,1152881,QUÍMICA,5,LIC,N
31340100,1117877,SERVIÇO SOCIAL,172,BAC,M
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA,105,BAC,D
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA,158,BAC,N
